,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
0,10.1,1,1,0.344807547,0.693330638,0.934376058,193.0,161.0,-32.0,1980000,0,12,12.0,24,10,3.75,3.75,3.0
1,11.1,1,0,-0.236235418,-1.120578168,-0.493815326,33.0,25.0,-8.0,590000,1,9,10.0,19,12,4.0,4.0,3.0
2,17.0,1,1,-0.205951964,1.056112399,2.362567443,15.0,171.0,156.0,430000,2,10,6.0,16,21,4.0,4.0,2.6
3,24.0,1,1,0.009360062,1.056112399,0.934376058,6.0,6.0,0.0,100000,4,12,5.0,17,28,3.0,3.0,4.0
4,28.0,1,1,-0.188314348,1.056112399,0.934376058,216.0,132.0,-84.0,7200000,5,6,9.0,15,31,4.0,4.0,3.0
5,32.0,1,1,-0.218930587,1.056112399,0.934376058,10.0,10.0,0.0,800000,6,5,5.0,10,36,2.0,2.0,3.5
6,46.0,1,1,-0.136399857,1.056112399,-0.493815326,43.0,165.0,122.0,1300500,7,10,10.0,20,51,3.5,3.5,3.0
7,47.0,1,1,-0.202956897,1.056112399,-0.493815326,18.0,18.0,0.0,430000,8,9,9.0,18,52,4.0,4.0,3.0
8,54.0,1,1,4.422757422,-0.757796407,-0.493815326,483.0,516.0,33.0,4270000,10,13,12.0,25,59,3.25,3.75,3.333333333
9,56.0,1,0,-0.236235418,-1.120578168,-0.493815326,180.0,126.0,-54.0,1035000,11,9,10.0,19,60,3.0,2.75,2.166666667
10,58.0,1,1,-0.218265017,1.056112399,0.934376058,113.0,113.0,0.0,935000,13,12,13.0,25,61,4.0,4.0,3.833333333
11,66.0,0,0,-0.236235418,-1.120578168,-0.493815326,66.0,58.0,-8.0,4700000,14,12,12.0,24,65,3.75,3.75,2.0
12,73.0,1,1,-0.210610957,1.056112399,-0.493815326,8.0,9.0,1.0,500000,15,7,12.0,19,73,3.0,3.0,3.0
13,74.0,1,1,-0.032570873,0.693330638,0.934376058,183.0,270.5,87.5,4100000,16,10,12.0,22,74,4.0,4.0,3.166666667
14,76.0,1,1,-0.138396568,1.056112399,2.362567443,4.0,7.5,3.5,800000,17,8,5.0,13,76,4.0,3.666666667,2.0
15,80.0,1,0,-0.236235418,-1.120578168,-0.493815326,105.0,478.0,373.0,5380000,18,10,10.0,20,79,1.4,1.4,1.0
16,83.0,1,1,0.003369928,1.056112399,0.934376058,7.0,7.0,0.0,175000,19,8,4.0,12,82,3.666666667,3.666666667,3.333333333
17,106.0,1,1,0.001373217,0.693330638,0.934376058,87.0,46.5,-40.5,425000,20,9,9.0,18,103,3.333333333,3.333333333,3.0
18,116.0,1,1,0.835332936,0.693330638,0.934376058,20.0,179.0,159.0,5210000,21,12,10.0,22,112,1.666666667,3.666666667,4.0
19,118.0,1,1,-0.158696465,1.056112399,0.934376058,189.0,123.0,-66.0,5000000,22,6,9.0,15,114,3.4,3.4,1.0
20,120.0,1,1,-0.156366969,1.056112399,0.934376058,18.0,18.0,0.0,500000,23,7,5.0,12,115,4.0,4.0,4.0
21,126.0,1,1,-0.169678377,1.056112399,0.934376058,132.0,56.0,-76.0,1670000,24,8,2.0,10,120,3.0,3.0,2.0
22,128.0,1,1,-0.213606024,1.056112399,0.934376058,122.0,30.0,-92.0,250000,25,9,5.0,14,122,3.833333333,3.833333333,4.0
23,129.0,1,1,-0.103121336,1.056112399,0.934376058,269.0,121.0,-148.0,2920000,26,10,14.0,24,123,2.8,2.8,3.2
24,134.0,1,1,-0.216268305,1.056112399,-0.493815326,52.0,67.0,15.0,1440000,27,8,10.0,18,127,3.0,3.0,4.0
25,137.0,1,1,-0.169678377,1.056112399,-0.493815326,239.0,169.0,-70.0,5100000,28,5,12.0,17,130,4.0,4.0,4.0
26,154.0,1,1,0.256286683,1.056112399,0.934376058,157.0,205.0,48.0,2587000,29,12,14.0,26,148,4.0,4.0,3.0
27,168.0,0,0,-0.236235418,-1.120578168,-0.493815326,98.0,48.0,-50.0,1568000,30,5,6.0,11,159,3.0,3.0,2.4
28,189.0,0,0,-0.236235418,-1.120578168,-0.493815326,35.0,35.0,0.0,620000,31,13,13.0,26,179,2.25,2.0,2.333333333
29,195.2,0,0,-0.236235418,-1.120578168,-0.493815326,6.0,2.0,-4.0,130000,33,4,10.0,14,187,4.0,4.0,2.0
30,201.0,1,1,-0.189312704,1.056112399,2.362567443,3.0,3.0,0.0,60000,34,5,5.0,10,192,4.0,4.0,2.0
31,202.0,0,0,-0.236235418,-1.120578168,-0.493815326,112.0,52.0,-60.0,1650000,36,12,12.0,24,193,4.0,4.0,1.0
32,208.0,1,1,-0.210278172,1.056112399,0.934376058,12.0,12.0,0.0,360000,37,5,4.0,9,199,4.0,4.0,2.0
33,209.2,1,1,-0.173671799,1.056112399,-0.493815326,41.0,77.0,36.0,820000,40,5,5.0,10,201,3.0,3.0,1.5
34,212.1,1,1,-0.228248573,1.056112399,-0.493815326,3.0,1.5,-1.5,60000,41,8,5.0,13,204,4.0,4.0,2.0
35,212.2,0,0,-0.236235418,-1.120578168,-0.493815326,3.0,1.5,-1.5,45000,42,8,5.0,13,205,3.666666667,3.666666667,2.0
36,214.0,0,0,-0.236235418,-1.120578168,-0.493815326,37.0,37.0,0.0,1245000,43,8,5.0,13,206,4.0,4.0,3.0
37,216.0,1,1,-0.136399857,-0.757796407,-0.493815326,6.0,6.0,0.0,150000,44,7,5.0,12,208,4.0,4.0,4.0
38,218.0,1,1,1.361133556,-0.395014646,0.934376058,82.0,170.0,88.0,3656000,45,5,5.0,10,209,3.0,3.0,2.0
39,219.0,0,0,-0.236235418,-1.120578168,-0.493815326,190.0,267.0,77.0,24480000,46,12,14.0,26,210,3.6,3.6,4.0
40,222.1,1,1,-0.226251862,1.056112399,-0.493815326,6.0,67.0,61.0,3680000,47,9,14.0,23,213,2.5,2.5,2.25
41,222.2,1,1,-0.22292401,-0.757796407,-0.493815326,6.0,26.0,20.0,1060000,48,9,14.0,23,214,3.0,3.0,3.0
42,228.0,0,0,-0.236235418,-1.120578168,-0.493815326,131.0,123.5,-7.5,7654500,49,10,3.0,13,220,4.0,4.0,2.4
43,232.0,1,1,-0.129744153,1.056112399,-0.493815326,80.0,116.0,36.0,1990000,50,13,12.0,25,224,3.25,3.25,2.5
44,234.0,0,0,-0.236235418,-1.120578168,-0.493815326,3.0,3.0,0.0,240000,51,8,9.0,17,226,3.5,3.0,2.5
45,238.0,1,1,-0.209093456,1.056112399,0.934376058,24.0,24.0,0.0,750000,52,12,12.0,24,228,4.0,4.0,4.0
46,245.0,1,1,-0.216268305,1.056112399,-0.493815326,14.0,42.0,28.0,1300000,53,7,8.0,15,236,4.0,4.0,2.833333333
47,248.0,0,0,-0.236235418,-1.120578168,-0.493815326,140.0,246.0,106.0,4125000,54,14,13.0,27,239,3.0,2.75,3.0
48,254.0,1,1,-0.216268305,1.056112399,-0.493815326,5.0,7.0,2.0,130000,55,9,9.0,18,244,4.0,4.0,4.0
49,270.0,0,0,-0.236235418,-1.120578168,-0.493815326,107.0,41.0,-66.0,1155000,58,10,12.0,22,258,2.333333333,2.333333333,2.0
50,280.1,1,1,-0.116432745,1.056112399,2.362567443,12.0,5.0,-7.0,100000,59,12,12.0,24,268,4.0,4.0,2.5
51,280.2,1,1,-0.202956897,0.693330638,-0.493815326,12.0,7.0,-5.0,140000,60,9,8.0,17,269,3.0,4.0,1.5
52,288.0,1,1,-0.226917432,1.056112399,0.934376058,167.0,7.0,-160.0,30000,62,7,5.0,12,278,4.0,4.0,4.0
