a01,e01,e02,e06_sum,e07,Savings diversification,g02_1,g02,Land Acquired,g10,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household,Year
10.1,1,1,0.344807547,0.693330638,0.934376058,0.572003846,0.474769473,-0.269916777,-0.118313277,1.277402799,1.15530324,1.346652402,0.478494688,0.467296522,-0.053366704,1
11.1,1,0,-0.236235418,-1.120578168,-0.493815326,-0.474998293,-0.605344198,-0.035483166,-0.543919108,0.253629251,0.648186894,0.539303336,0.930271042,0.895122396,-0.053366704,1
17,1,1,-0.205951964,1.056112399,2.362567443,-0.592786034,0.554189596,1.566479843,-0.592909707,0.594887101,-0.366045799,0.054893897,0.930271042,0.895122396,-0.547805026,1
24,1,1,0.009360062,1.056112399,0.934376058,-0.651679904,-0.756242431,0.042661371,-0.693952818,1.277402799,-0.619603973,0.21636371,-0.876834376,-0.816181099,1.1827291,1
28,1,1,-0.188314348,1.056112399,0.934376058,0.722510404,0.244451117,-0.777856268,1.480005022,-0.770144296,0.394628721,-0.106575916,0.930271042,0.895122396,-0.053366704,1
32,1,1,-0.218930587,1.056112399,0.934376058,-0.625504851,-0.724474382,0.042661371,-0.479618946,-1.111402145,-0.619603973,-0.913924982,-2.683939795,-2.527484594,0.564681198,1
46,1,1,-0.136399857,1.056112399,-0.493815326,-0.40956066,0.506537522,1.234365561,-0.326370228,0.594887101,0.648186894,0.700773149,0.026718333,0.039470649,-0.053366704,1
47,1,1,-0.202956897,1.056112399,-0.493815326,-0.573154744,-0.660938284,0.042661371,-0.592909707,0.253629251,0.394628721,0.377833523,0.930271042,0.895122396,-0.053366704,1
54,1,1,4.422757422,-0.757796407,-0.493815326,2.469695224,3.294183835,0.365007586,0.582864674,1.618660648,1.15530324,1.508122215,-0.425058022,0.467296522,0.35866523,1
56,1,0,-0.236235418,-1.120578168,-0.493815326,0.486934922,0.196799043,-0.484814254,-0.407664004,0.253629251,0.648186894,0.539303336,-0.876834376,-1.244006973,-1.08344654,1
58,1,1,-0.218265017,1.056112399,0.934376058,0.048502776,0.093552883,0.042661371,-0.438283128,1.277402799,1.408861414,1.508122215,0.930271042,0.895122396,0.976713132,1
66,0,0,-0.236235418,-1.120578168,-0.493815326,-0.259054102,-0.343257792,-0.035483166,0.71452691,1.277402799,1.15530324,1.346652402,0.478494688,0.467296522,-1.289462508,1
73,1,1,-0.210610957,1.056112399,-0.493815326,-0.638592378,-0.732416394,0.052429438,-0.57147632,-0.428886447,1.15530324,0.539303336,-0.876834376,-0.816181099,-0.053366704,1
