a01,f_ed,m_ed,combined_ed
10.1,12,12,24
11.1,9,10,19
17,10,6,16
22,8,8,16
24,12,5,17
28,6,9,15
32,5,5,10
46,10,10,20
47,9,9,18
54,13,12,25
56,9,10,19
58,12,13,25
66,12,12,24
73,7,12,19
74,10,12,22
76,8,5,13
80,10,10,20
83,8,4,12
106,9,9,18
116,12,10,22
118,6,9,15
120,7,5,12
126,8,2,10
128,9,5,14
129,10,14,24
134,8,10,18
137,5,12,17
154,12,14,26
168,5,6,11
189,13,13,26
195.1,4,10,14
195.2,4,10,14
201,5,5,10
202,12,12,24
208,5,4,9
209.2,5,5,10
212.1,8,5,13
212.2,8,5,13
214,8,5,13
216,7,5,12
218,5,5,10
219,12,14,26
222.1,9,14,23
222.2,9,14,23
228,10,3,13
232,13,12,25
234,8,9,17
238,12,12,24
245,7,8,15
248,14,13,27
254,9,9,18
268,10,13,23
269,7,5,12
270,10,12,22
280.1,12,12,24
280.2,9,8,17
288,7,5,12
293,6,8,14
303,8,5,13
316.1,9,4,13
316.2,7,5,12
316.3,7,5,12
317,9,7,16
323,8,9,17
325,4,2,6
326,10,10,20
328,6,10,16
329.1,5,4,9
329.2,5,4,9
334,9,12,21
341,10,13,23
361,10,10,20
363,3,5,8
365,9,13,22
370,13,10,23
373,12,10,22
379,5,7,12
380,10,4,14
381,10,13,23
392,8,5,13
397,7,2,9
404,9,7,16
421,5,8,13
424,6,8,14
430,14,14,28
435,7,3,10
437.1,9,8,17
440.1,4,7,11
440.2,4,7,11
440.3,4,7,11
444,1,10,11
446,7,0,7
447,10,9,19
449,8,0,8
450,12,12,24
460,10,13,23
461,12,10,22
464.2,10,12,22
467.1,13,13,26
467.2,13,13,26
468,12,12,24
472,10,10,20
484.1,10,10,20
487,12,14,26
489,12,14,26
490.2,12,14,26
500,12,14,26
502,9,9,18
506,6,0,6
509,6,5,11
510,4,5,9
512,2,0,2
513,5,0,5
526,8,5,13
532.1,5,8,13
551,14,12,26
552,9,10,19
554,5,0,5
557,6,0,6
563,0,0,0
569,9,9,18
573,9,9,18
574,7,6,13
577,10,12,22
580,13,12,25
581.11,10,13,23
585,8,8,16
586,8,6,14
587,12,8,20
588,8,5,13
590,2,0,2
594,12,10,22
598,7,5,12
600,8,8,16
603,5,6,11
613,12,14,26
615,8,6,14
623,9,10,19
625,8,13,21
631,12,5,17
632,6,7,13
634,8,9,17
637,12,8,20
638,8,9,17
655.1,5,7,12
657,8,5,13
660.1,6,5,11
664,13,10,23
666.1,9,8,17
667,10,12,22
670,9,9,18
673,10,7,17
677.1,5,6,11
680,10,8,18
683,7,10,17
685,10,10,20
693,5,0,5
695,10,8,18
698,10,7,17
707,0,0,0
708,5,5,10
713,5,4,9
715,5,0,5
718,10,8,18
722,12,12,24
724,12,14,26
732,9,8,17
739,9,5,14
740,7,9,16
743,8,7,15
748,12,8,20
751.1,8,5,13
751.2,9,10,19
752,13,12,25
753.2,12,13,25
754,8,9,17
763,12,13,25
764,12,10,22
769,12,9,21
771,9,4,13
772,10,9,19
778,8,5,13
782,13,12,25
785,10,10,20
786,10,10,20
787,7,6,13
791,5,10,15
793,12,9,21
798,10,12,22
806,10,9,19
809,10,9,19
811,8,10,18
812,12,10,22
821,10,10,20
822,12,12,24
826,8,10,18
829,10,10,20
831,10,9,19
836,9,10,19
837,12,13,25
839.1,12,10,22
841,7,5,12
844,10,7,17
849,4,,4
850,8,3,11
853,7,5,12
855,6,10,16
856,9,13,22
857,10,10,20
858,7,8,15
869,6,5,11
873,7,0,7
884,12,9,21
887,6,9,15
890,12,14,26
907,9,10,19
909,2,5,7
910,7,9,16
914,4,5,9
924,8,12,20
926,8,10,18
935,12,14,26
940,8,12,20
943,10,10,20
944,12,12,24
945,12,13,25
951,12,10,22
952,6,12,18
958,12,5,17
964,10,10,20
966,9,9,18
967,10,5,15
968,10,8,18
971,5,8,13
974,8,8,16
976,12,10,22
977,8,5,13
986,7,7,14
987,12,14,26
988,12,5,17
993.1,0,0,0
996,10,9,19
999,12,9,21
1003,8,10,18
1005,5,0,5
1007.1,10,5,15
1008,4,0,4
1011,9,8,17
1012,8,6,14
1013,10,13,23
1014,3,6,9
1022,12,13,25
1028,8,12,20
1030,9,9,18
1032,10,6,16
1033,10,6,16
1037,9,9,18
1038,10,10,20
1040.2,7,5,12
1042,9,13,22
1044,12,12,24
1045,9,12,21
1049,12,13,25
1052,12,9,21
1055,7,7,14
1056,9,9,18
1057,7,9,16
1062,7,8,15
1063,5,5,10
1067,12,10,22
1068,6,6,12
1082,6,0,6
1090,12,12,24
1091,9,8,17
1096,7,3,10
1105,4,3,7
1108,12,7,19
1111,9,8,17
1112,9,12,21
1115,4,5,9
1117,14,13,27
1124,9,5,14
1125,8,7,15
1137,14,8,22
1141,10,14,24
1142,10,0,10
1143.1,0,0,0
1145,10,9,19
1148,9,5,14
1149,10,13,23
1155.1,12,14,26
1156,9,10,19
1157,10,12,22
1159,0,4,4
1163,0,0,0
1167,5,8,13
1170,3,0,3
1172,4,7,11
1173,3,0,3
1176,2,5,7
1178,5,8,13
1181,14,14,28
1188,14,14,28
1202,7,9,16
1204,9,6,15
1205,6,8,14
1213,0,0,0
1214,8,9,17
1221,12,8,20
1225,8,9,17
1226,10,9,19
1232,8,6,14
1235,4,5,9
1236,10,12,22
1238,9,0,9
1239,7,6,13
1240.1,10,7,17
1248,10,9,19
1250,10,12,22
1253,8,12,20
1255,10,8,18
1266,12,13,25
1268,10,12,22
1269,6,9,15
1273,10,8,18
1274.2,10,10,20
1289,6,4,10
1293,10,8,18
1296,9,5,14
1298.1,12,12,24
1299,8,9,17
1305.2,12,10,22
1309.11,6,5,11
1324,5,8,13
1325,6,5,11
1327,14,7,21
1330,10,5,15
1331.1,7,2,9
1334,10,8,18
1335,12,10,22
1338,5,0,5
1339,6,5,11
1342,8,6,14
1347,10,8,18
1357,8,7,15
1359,7,10,17
1366,10,5,15
1368,13,13,26
1376,9,12,21
1377,1,13,14
1382,5,7,12
1388,8,0,8
1390,10,6,16
1393.1,12,5,17
1393.2,12,5,17
1393.3,12,5,17
1394.1,8,9,17
1394.2,8,0,8
1398,13,14,27
1406,4,10,14
1407,8,10,18
1408.1,6,8,14
1408.2,6,8,14
1410,8,7,15
1411.1,8,10,18
1414.1,4,0,4
1414.2,5,5,10
1414.3,4,0,4
1421,2,12,14
1423.2,5,12,17
1426,10,8,18
1433,9,5,14
1435,12,13,25
1438,9,8,17
1441,8,3,11
1444,12,14,26
1445,7,8,15
1446,10,5,15
1448,10,10,20
1452,9,8,17
1454,10,8,18
1456,12,13,25
1462,12,9,21
1463,5,4,9
1464,5,8,13
1466,9,12,21
1467.1,3,6,9
1472,8,12,20
1473,12,12,24
1477,8,7,15
1478,7,4,11
1482,13,14,27
1483,8,9,17
1485,12,13,25
1488,5,0,5
1489,7,12,19
1497,7,7,14
1499,7,9,16
1515,5,5,10
1528,5,0,5
1529,13,5,18
1551,12,10,22
1561,0,2,2
1575,6,5,11
1576,10,12,22
1578,12,10,22
1585,6,3,9
1586.1,8,12,20
1587,7,14,21
1591,10,0,10
1600.21,0,0,0
1602,12,10,22
1605,10,12,22
1609,12,10,22
1611,10,12,22
1614,10,12,22
1616,8,5,13
1624,10,10,20
1631,12,14,26
1648,12,14,26
1651,9,9,18
1652,10,10,20
1654,10,5,15
1660,7,4,11
1664,7,8,15
1677,10,,10
1685,9,12,21
1694,7,12,19
1699,8,4,12
1700,6,5,11
1710,9,7,16
1723,5,5,10
1724.1,6,8,14
1727,6,9,15
1736,7,8,15
1737,10,6,16
1746,4,0,4
1753,3,5,8
1760,2,0,2
1763,5,5,10
1764,10,8,18
1769,7,0,7
1773,10,10,20
1778,5,0,5
1790,6,0,6
1795,4,9,13
1796,4,0,4
1800,12,9,21
1805,5,9,14
1807,4,10,14
1810,13,10,23
1812,4,0,4
1813,5,5,10
1818,4,5,9
1819,3,3,6
1821,8,0,8
1827,6,6,12
1829,4,0,4
1830,8,6,14
1833,10,5,15
1834,7,5,12
1835,9,8,17
1836,12,10,22
1838,12,12,24
1845,12,8,20
1847,5,5,10
1856.1,12,12,24
1864,9,5,14
1866,8,5,13
1867,5,5,10
1868,12,9,21
1872,9,12,21
1873,5,8,13
1876.2,6,5,11
1878,12,10,22
1894,10,12,22
1895,10,12,22
1902,12,10,22
1907,4,0,4
1908,5,5,10
1917,5,0,5
1919,4,0,4
1926,7,10,17
1932,12,10,22
1933,13,13,26
1936,10,12,22
1941,12,14,26
1946,9,9,18
1947,12,12,24
1948,8,6,14
1951,8,5,13
1957,10,12,22
1963.1,8,3,11
1964,9,12,21
1965,4,5,9
1968,7,5,12
1969,7,7,14
