,a01,Savings in past year,Current Savings,Total Savings,Saving Frequency,Savings diversification
0,1.0,1,0,0.0,0.0,1
1,2.0,1,1,85000.0,5.0,2
3,3.1,1,1,10420.0,6.0,2
5,3.2,1,1,16282.0,6.0,1
6,4.0,1,1,46900.0,2.0,1
7,5.0,1,1,38000.0,1.0,1
8,6.0,1,1,1000.0,6.0,1
9,7.0,1,1,72000.0,5.0,1
10,8.0,1,1,217440.0,2.0,1
11,9.0,1,1,10000.0,6.0,1
12,10.1,1,1,87300.0,5.0,2
14,10.2,1,1,13530.0,5.0,1
15,11.1,1,0,0.0,0.0,1
16,11.2,1,0,0.0,0.0,1
17,11.3,1,0,0.0,0.0,1
18,12.0,1,1,11000.0,5.0,2
20,13.0,1,1,153.0,6.0,1
24,14.0,1,1,70000.0,5.0,4
26,15.0,1,1,13200.0,6.0,2
27,16.1,1,0,0.0,0.0,1
28,16.2,1,1,24200.0,5.0,3
31,17.0,1,1,4550.0,6.0,3
34,18.1,1,1,22000.0,5.0,1
35,18.2,1,1,54000.0,5.0,2
37,19.0,1,1,13300.0,5.0,2
39,21.0,1,1,1500.0,5.0,1
40,22.0,0,0,0.0,0.0,1
41,23.0,1,1,17600.0,6.0,2
44,24.0,1,1,36900.0,6.0,2
45,26.0,1,1,8100.0,6.0,2
47,27.0,1,1,6000.0,6.0,1
49,28.0,1,1,7200.0,6.0,2
50,29.0,0,0,0.0,0.0,1
51,30.1,1,1,4000.0,6.0,1
52,30.2,1,1,8000.0,5.0,1
53,31.0,1,1,800.0,6.0,2
56,32.0,1,1,2600.0,6.0,2
57,33.0,0,0,0.0,0.0,1
58,34.0,0,0,0.0,0.0,1
59,35.0,1,1,6000.0,2.0,1
60,36.0,1,1,1800.0,5.0,1
61,37.0,1,1,3000.0,6.0,1
62,38.1,1,1,2000.0,6.0,1
63,38.2,1,1,3000.0,7.0,1
65,39.0,1,1,44000.0,5.0,2
66,40.0,1,1,2100.0,6.0,1
67,41.0,1,1,7000.0,6.0,1
68,42.0,1,1,15000.0,6.0,1
69,43.0,1,1,16000.0,2.0,1
71,44.0,1,1,280000.0,5.0,2
72,45.0,0,0,0.0,0.0,1
73,46.0,1,1,15000.0,6.0,1
74,47.0,1,1,5000.0,6.0,1
75,48.0,0,0,0.0,0.0,1
76,49.0,1,1,800000.0,5.0,1
77,50.0,1,0,0.0,0.0,1
78,51.0,1,0,0.0,0.0,1
79,52.0,1,0,0.0,0.0,1
81,53.0,1,1,2200.0,6.0,2
82,54.0,1,1,700000.0,1.0,1
83,56.0,1,0,0.0,0.0,1
84,58.0,1,1,2700.0,6.0,2
86,60.0,1,1,10000.0,6.0,1
87,61.0,1,1,10000.0,5.0,1
88,63.0,1,1,7000.0,6.0,3
91,66.0,0,0,0.0,0.0,1
92,67.0,1,1,30000.0,6.0,1
93,68.0,1,1,10000.0,6.0,1
94,69.1,0,0,0.0,0.0,1
95,69.2,1,1,14300.0,5.0,2
97,70.0,1,1,85000.0,6.0,2
99,71.0,1,1,5000.0,6.0,1
100,72.0,1,1,25000.0,5.0,1
101,73.0,1,1,3850.0,6.0,1
102,74.0,1,1,30600.0,5.0,2
104,75.0,1,1,5000.0,5.0,1
105,76.0,1,1,14700.0,6.0,3
108,78.0,1,1,5000.0,6.0,1
109,79.0,1,1,300000.0,5.0,1
110,80.0,1,0,0.0,0.0,1
111,81.0,1,1,8000.0,6.0,2
113,82.0,1,1,15600.0,6.0,3
116,83.0,1,1,36000.0,6.0,2
118,84.0,0,0,0.0,0.0,1
