a01,Savings in the past year,Current Savings,Total Savings,Saving Frequency,Savings diversification
1,1,0,-0.236235418,-1.120578168,-0.493815326
2,1,1,0.329499427,0.693330638,0.934376058
3.1,1,1,-0.166882981,1.056112399,0.934376058
3.2,1,1,-0.127867244,1.056112399,-0.493815326
4,1,1,0.075917103,-0.395014646,-0.493815326
5,1,1,0.016681337,-0.757796407,-0.493815326
6,1,1,-0.229579714,1.056112399,-0.493815326
7,1,1,0.242975274,0.693330638,-0.493815326
8,1,1,1.210980873,-0.395014646,-0.493815326
9,1,1,-0.169678377,1.056112399,-0.493815326
10.1,1,1,0.344807547,0.693330638,0.934376058
10.2,1,1,-0.146183742,0.693330638,-0.493815326
11.1,1,0,-0.236235418,-1.120578168,-0.493815326
11.2,1,0,-0.236235418,-1.120578168,-0.493815326
11.3,1,0,-0.236235418,-1.120578168,-0.493815326
12,1,1,-0.163022673,0.693330638,0.934376058
13,1,1,-0.235217095,1.056112399,-0.493815326
14,1,1,0.229663866,0.693330638,3.790758827
15,1,1,-0.148380124,1.056112399,0.934376058
16.1,1,0,-0.236235418,-1.120578168,-0.493815326
16.2,1,1,-0.075167379,0.693330638,2.362567443
17,1,1,-0.205951964,1.056112399,2.362567443
18.1,1,1,-0.089809928,0.693330638,-0.493815326
18.2,1,1,0.123172601,0.693330638,0.934376058
19,1,1,-0.147714554,0.693330638,0.934376058
21,1,1,-0.226251862,0.693330638,-0.493815326
22,0,0,-0.236235418,-1.120578168,-0.493815326
23,1,1,-0.119095026,1.056112399,0.934376058
24,1,1,0.009360062,1.056112399,0.934376058
26,1,1,-0.182324215,1.056112399,0.934376058
27,1,1,-0.196301193,1.056112399,-0.493815326
28,1,1,-0.188314348,1.056112399,0.934376058
29,0,0,-0.236235418,-1.120578168,-0.493815326
30.1,1,1,-0.209612601,1.056112399,-0.493815326
30.2,1,1,-0.182989785,0.693330638,-0.493815326
31,1,1,-0.230910854,1.056112399,0.934376058
32,1,1,-0.218930587,1.056112399,0.934376058
33,0,0,-0.236235418,-1.120578168,-0.493815326
34,0,0,-0.236235418,-1.120578168,-0.493815326
35,1,1,-0.196301193,-0.395014646,-0.493815326
36,1,1,-0.22425515,0.693330638,-0.493815326
37,1,1,-0.216268305,1.056112399,-0.493815326
38.1,1,1,-0.22292401,1.056112399,-0.493815326
38.2,1,1,-0.216268305,1.41889416,-0.493815326
39,1,1,0.056615561,0.693330638,0.934376058
40,1,1,-0.222258439,1.056112399,-0.493815326
41,1,1,-0.189645489,1.056112399,-0.493815326
42,1,1,-0.136399857,1.056112399,-0.493815326
43,1,1,-0.129744153,-0.395014646,-0.493815326
44,1,1,1.627361718,0.693330638,0.934376058
45,0,0,-0.236235418,-1.120578168,-0.493815326
46,1,1,-0.136399857,1.056112399,-0.493815326
47,1,1,-0.202956897,1.056112399,-0.493815326
48,0,0,-0.236235418,-1.120578168,-0.493815326
49,1,1,5.088327828,0.693330638,-0.493815326
50,1,0,-0.236235418,-1.120578168,-0.493815326
51,1,0,-0.236235418,-1.120578168,-0.493815326
52,1,0,-0.236235418,-1.120578168,-0.493815326
53,1,1,-0.221592869,1.056112399,0.934376058
54,1,1,4.422757422,-0.757796407,-0.493815326
56,1,0,-0.236235418,-1.120578168,-0.493815326
58,1,1,-0.218265017,1.056112399,0.934376058
60,1,1,-0.169678377,1.056112399,-0.493815326
61,1,1,-0.169678377,0.693330638,-0.493815326
63,1,1,-0.189645489,1.056112399,2.362567443
66,0,0,-0.236235418,-1.120578168,-0.493815326
67,1,1,-0.036564296,1.056112399,-0.493815326
68,1,1,-0.169678377,1.056112399,-0.493815326
69.1,0,0,-0.236235418,-1.120578168,-0.493815326
69.2,1,1,-0.14105885,0.693330638,0.934376058
70,1,1,0.329499427,1.056112399,0.934376058
71,1,1,-0.202956897,1.056112399,-0.493815326
72,1,1,-0.069842816,0.693330638,-0.493815326
73,1,1,-0.210610957,1.056112399,-0.493815326
74,1,1,-0.032570873,0.693330638,0.934376058
75,1,1,-0.202956897,0.693330638,-0.493815326
76,1,1,-0.138396568,1.056112399,2.362567443
78,1,1,-0.202956897,1.056112399,-0.493815326
79,1,1,1.760475799,0.693330638,-0.493815326
80,1,0,-0.236235418,-1.120578168,-0.493815326
81,1,1,-0.182989785,1.056112399,0.934376058
82,1,1,-0.132406434,1.056112399,2.362567443
83,1,1,0.003369928,1.056112399,0.934376058
84,0,0,-0.236235418,-1.120578168,-0.493815326
85,1,1,0.106533341,0.693330638,0.934376058
86,1,1,-0.208281461,1.056112399,-0.493815326
87,1,1,-0.104452477,0.693330638,-0.493815326
90,1,1,0.083238377,0.693330638,-0.493815326
91,1,1,-0.199036688,1.056112399,-0.493815326
92,1,1,-0.181658644,1.056112399,-0.493815326
93.1,0,0,-0.236235418,-1.120578168,-0.493815326
93.2,1,1,-0.23257478,1.056112399,-0.493815326
94,1,1,-0.17500294,0.693330638,-0.493815326
95,1,1,1.186088539,1.056112399,0.934376058
96,1,1,-0.212354751,1.056112399,-0.493815326
97,1,1,-0.136399857,1.056112399,0.934376058
99,1,1,-0.216268305,1.056112399,-0.493815326
100.1,1,1,-0.162357103,1.056112399,0.934376058
101,1,1,-0.036564296,-0.395014646,-0.493815326
102,0,0,-0.236235418,-1.120578168,-0.493815326
103,1,1,-0.232241995,1.056112399,-0.493815326
104,1,1,-0.216268305,0.693330638,-0.493815326
105,1,1,0.562449069,0.693330638,0.934376058
106,1,1,0.001373217,0.693330638,0.934376058
107,0,0,-0.236235418,-1.120578168,-0.493815326
108,1,1,-0.209612601,1.056112399,-0.493815326
109,1,1,-0.160360391,1.056112399,2.362567443
110,1,0,-0.236235418,-1.120578168,-0.493815326
111,1,1,-0.199629045,1.056112399,0.934376058
112,1,1,0.050625427,1.056112399,0.934376058
113,1,1,-0.206284749,1.056112399,-0.493815326
114,1,1,-0.056531408,1.056112399,0.934376058
116,1,1,0.835332936,0.693330638,0.934376058
117,0,0,-0.236235418,-1.120578168,-0.493815326
118,1,1,-0.158696465,1.056112399,0.934376058
120,1,1,-0.156366969,1.056112399,0.934376058
121,0,0,-0.236235418,-1.120578168,-0.493815326
122,1,1,-0.002620205,1.41889416,6.647141596
123,0,0,-0.236235418,-1.120578168,-0.493815326
124,1,1,0.256286683,0.693330638,0.934376058
126,1,1,-0.169678377,1.056112399,0.934376058
127,1,1,-0.23257478,1.056112399,0.934376058
128,1,1,-0.213606024,1.056112399,0.934376058
129,1,1,-0.103121336,1.056112399,0.934376058
130,1,1,-0.166350525,0.693330638,-0.493815326
131,1,1,-0.22292401,1.056112399,-0.493815326
132,1,1,-0.195302838,1.056112399,0.934376058
134,1,1,-0.216268305,1.056112399,-0.493815326
135,0,0,-0.236235418,-1.120578168,-0.493815326
136,1,1,-0.234904277,1.056112399,-0.493815326
137,1,1,-0.169678377,1.056112399,-0.493815326
140,1,1,-0.196301193,1.056112399,-0.493815326
141,1,1,-0.129744153,1.056112399,3.790758827
142.1,1,1,-0.069842816,-0.757796407,-0.493815326
142.2,1,1,0.509203437,0.693330638,0.934376058
143,0,0,-0.236235418,-1.120578168,-0.493815326
144,0,0,-0.236235418,-1.120578168,-0.493815326
145,1,1,-0.218265017,1.41889416,-0.493815326
146,1,1,0.076582673,1.056112399,9.503524365
147,1,1,-0.163022673,1.056112399,2.362567443
148.1,1,1,-0.232241995,1.056112399,-0.493815326
148.2,1,1,-0.219596157,1.056112399,0.934376058
148.3,0,0,-0.236235418,-1.120578168,-0.493815326
149,1,1,-0.22292401,1.056112399,-0.493815326
150,0,0,-0.236235418,-1.120578168,-0.493815326
151,1,1,-0.214937165,1.056112399,-0.493815326
152,1,1,1.946835513,0.693330638,0.934376058
153,1,1,-0.202291327,1.056112399,2.362567443
154,1,1,0.256286683,1.056112399,0.934376058
155,1,1,-0.103121336,-0.395014646,-0.493815326
157,0,0,-0.236235418,-1.120578168,-0.493815326
160,0,0,-0.236235418,-1.120578168,-0.493815326
161,1,0,-0.236235418,-1.120578168,-0.493815326
162,1,1,1.094905394,0.693330638,-0.493815326
163,1,1,-0.229579714,1.056112399,-0.493815326
164,1,1,0.429334988,-0.395014646,-0.493815326
165,0,0,-0.236235418,-1.120578168,-0.493815326
166,1,1,-0.216268305,1.056112399,-0.493815326
167,1,1,1.127970932,0.693330638,2.362567443
168,0,0,-0.236235418,-1.120578168,-0.493815326
169,0,0,-0.236235418,-1.120578168,-0.493815326
170,1,1,-0.169678377,-0.757796407,-0.493815326
171,1,1,0.362777948,0.693330638,-0.493815326
172,1,1,-0.189645489,0.693330638,-0.493815326
173,0,0,-0.236235418,-1.120578168,-0.493815326
174,0,0,-0.236235418,-1.120578168,-0.493815326
175,1,0,-0.236235418,-1.120578168,-0.493815326
176,1,1,-0.204288038,0.693330638,-0.493815326
177,0,0,-0.236235418,-1.120578168,-0.493815326
178,1,1,-0.202956897,1.056112399,-0.493815326
179,1,1,-0.229579714,1.056112399,-0.493815326
180,0,0,-0.236235418,-1.120578168,-0.493815326
182,1,1,0.096549785,-0.757796407,-0.493815326
183,1,1,1.294576515,0.693330638,2.362567443
184,1,1,-0.103121336,1.056112399,0.934376058
185,1,1,-0.147335179,1.056112399,6.647141596
186,1,1,-0.209612601,0.693330638,-0.493815326
187,0,0,-0.236235418,-1.120578168,-0.493815326
188,0,0,-0.236235418,-1.120578168,-0.493815326
189,0,0,-0.236235418,-1.120578168,-0.493815326
190,1,1,0.595727589,-0.757796407,0.934376058
191.1,1,1,-0.003285776,1.056112399,0.934376058
191.2,1,0,-0.236235418,-1.120578168,-0.493815326
192,1,1,-0.103121336,0.693330638,-0.493815326
193,1,1,0.209696754,1.056112399,3.790758827
194,1,1,-0.202956897,1.056112399,0.934376058
195.1,0,0,-0.236235418,-1.120578168,-0.493815326
195.2,0,0,-0.236235418,-1.120578168,-0.493815326
196,1,1,0.90854568,0.693330638,0.934376058
197,1,1,9.081750262,-0.757796407,-0.493815326
198,1,1,-0.214258283,1.056112399,-0.493815326
199,1,1,-0.103121336,0.693330638,-0.493815326
201,1,1,-0.189312704,1.056112399,2.362567443
202,0,0,-0.236235418,-1.120578168,-0.493815326
203,0,0,-0.236235418,-1.120578168,-0.493815326
204,1,1,0.795398711,-0.395014646,0.934376058
205,1,1,-0.104452477,0.693330638,-0.493815326
206,1,1,-0.165352169,1.056112399,0.934376058
207,1,0,-0.236235418,-1.120578168,-0.493815326
208,1,1,-0.210278172,1.056112399,0.934376058
209.1,1,1,-0.149711265,1.056112399,2.362567443
209.2,1,1,-0.173671799,1.056112399,-0.493815326
210.1,1,1,-0.212940453,1.056112399,-0.493815326
210.2,1,1,-0.231576425,1.056112399,0.934376058
212.1,1,1,-0.228248573,1.056112399,-0.493815326
212.2,0,0,-0.236235418,-1.120578168,-0.493815326
214,0,0,-0.236235418,-1.120578168,-0.493815326
215.2,1,1,-0.226917432,1.056112399,-0.493815326
216,1,1,-0.136399857,-0.757796407,-0.493815326
218,1,1,1.361133556,-0.395014646,0.934376058
219,0,0,-0.236235418,-1.120578168,-0.493815326
220,1,1,-0.182989785,1.056112399,0.934376058
221,1,1,26.38658081,-0.757796407,-0.493815326
222.1,1,1,-0.226251862,1.056112399,-0.493815326
222.2,1,1,-0.22292401,-0.757796407,-0.493815326
223,0,0,-0.236235418,-1.120578168,-0.493815326
224,1,1,-0.22425515,0.693330638,-0.493815326
225,1,1,-0.169678377,1.056112399,-0.493815326
226,1,1,-0.09313778,1.056112399,2.362567443
227,0,0,-0.236235418,-1.120578168,-0.493815326
228,0,0,-0.236235418,-1.120578168,-0.493815326
229,0,0,-0.236235418,-1.120578168,-0.493815326
230,1,1,-0.216268305,0.693330638,-0.493815326
231,1,1,-0.156366969,0.693330638,-0.493815326
232,1,1,-0.129744153,1.056112399,-0.493815326
233,1,0,-0.236235418,-1.120578168,-0.493815326
234,0,0,-0.236235418,-1.120578168,-0.493815326
235,1,1,-0.227469855,1.056112399,-0.493815326
238,1,1,-0.209093456,1.056112399,0.934376058
239,0,0,-0.236235418,-1.120578168,-0.493815326
240.1,1,1,-0.189645489,0.693330638,0.934376058
240.2,1,1,-0.219596157,1.056112399,-0.493815326
241,1,1,-0.230245284,1.056112399,-0.493815326
242,1,1,-0.22292401,1.056112399,-0.493815326
243,1,1,-0.029908592,1.056112399,0.934376058
244,1,1,-0.221592869,0.693330638,-0.493815326
245,1,1,-0.216268305,1.056112399,-0.493815326
246,0,0,-0.236235418,-1.120578168,-0.493815326
247,1,1,-0.209612601,1.056112399,-0.493815326
248,0,0,-0.236235418,-1.120578168,-0.493815326
249,1,1,-0.146383413,0.693330638,-0.493815326
250,1,1,-0.103121336,-0.757796407,-0.493815326
251,1,1,-0.189645489,0.693330638,-0.493815326
252,0,0,-0.236235418,-1.120578168,-0.493815326
254,1,1,-0.216268305,1.056112399,-0.493815326
255,0,0,-0.236235418,-1.120578168,-0.493815326
256,1,1,0.762120191,0.693330638,-0.493815326
257,0,0,-0.236235418,-1.120578168,-0.493815326
258,1,1,0.010025632,1.056112399,2.362567443
259,0,0,-0.236235418,-1.120578168,-0.493815326
260,1,1,-0.114169805,1.056112399,3.790758827
261,1,1,-0.230378398,1.056112399,-0.493815326
262,1,1,-0.22292401,1.056112399,-0.493815326
263,1,1,1.612672579,1.056112399,3.790758827
264,0,0,-0.236235418,-1.120578168,-0.493815326
265,1,1,-0.22292401,1.056112399,-0.493815326
267,1,1,-0.22292401,1.056112399,-0.493815326
268,1,1,-0.003285776,1.056112399,2.362567443
269,0,0,-0.236235418,-1.120578168,-0.493815326
270,0,0,-0.236235418,-1.120578168,-0.493815326
271,0,0,-0.236235418,-1.120578168,-0.493815326
272,1,1,-0.176334081,0.693330638,-0.493815326
273,1,1,-0.229579714,1.056112399,-0.493815326
274,1,1,-0.22292401,1.056112399,-0.493815326
275,1,1,-0.226251862,1.056112399,-0.493815326
276,1,1,-0.089809928,0.693330638,-0.493815326
277,1,1,1.760475799,0.693330638,-0.493815326
278,1,1,-0.216268305,1.41889416,-0.493815326
279,1,1,-0.216268305,-0.757796407,-0.493815326
280.1,1,1,-0.116432745,1.056112399,2.362567443
280.2,1,1,-0.202956897,0.693330638,-0.493815326
281,1,1,-0.180127832,1.056112399,0.934376058
282.1,1,1,-0.22292401,1.056112399,-0.493815326
282.2,1,1,-0.22292401,0.693330638,-0.493815326
284,0,0,-0.236235418,-1.120578168,-0.493815326
285,1,1,-0.053869126,0.693330638,3.790758827
286.1,1,1,0.151126558,1.41889416,2.362567443
286.2,1,1,-0.216268305,1.056112399,-0.493815326
287,1,1,-0.182989785,1.056112399,-0.493815326
288,1,1,-0.226917432,1.056112399,0.934376058
289,1,1,0.502547733,0.693330638,2.362567443
290,1,1,-0.115267996,1.056112399,5.218950212
291,1,1,0.083238377,1.056112399,2.362567443
292,1,1,0.043304153,1.056112399,2.362567443
293,1,1,-0.092824962,1.056112399,0.934376058
294,1,1,-0.049875704,0.693330638,0.934376058
295,1,1,-0.22292401,0.693330638,-0.493815326
296,1,1,-0.209612601,0.693330638,-0.493815326
297,1,1,-0.126150073,0.693330638,0.934376058
298,1,1,0.362777948,0.693330638,3.790758827
299,0,0,-0.236235418,-1.120578168,-0.493815326
300,1,1,-0.216268305,0.693330638,-0.493815326
301,1,0,-0.236235418,-1.120578168,-0.493815326
302,1,1,-0.178996363,1.056112399,2.362567443
303,1,0,-0.236235418,-1.120578168,-0.493815326
304,1,1,-0.176334081,1.056112399,0.934376058
305,1,1,-0.214937165,1.056112399,-0.493815326
307,1,0,-0.236235418,-1.120578168,-0.493815326
308,1,1,0.096549785,-0.757796407,-0.493815326
309,1,1,-0.069842816,1.056112399,-0.493815326
310,1,0,-0.236235418,-1.120578168,-0.493815326
311,1,0,-0.236235418,-1.120578168,-0.493815326
312,1,1,-0.136399857,1.056112399,-0.493815326
313,1,0,-0.236235418,-1.120578168,-0.493815326
314,1,1,-0.202956897,1.056112399,0.934376058
315,1,1,-0.186983208,1.056112399,0.934376058
316.1,1,1,-0.219596157,1.056112399,-0.493815326
316.2,1,1,0.109861193,1.056112399,2.362567443
316.3,1,1,-0.202956897,1.056112399,-0.493815326
317,1,0,-0.236235418,-1.120578168,-0.493815326
318,1,1,-0.209612601,0.693330638,-0.493815326
319,1,0,-0.236235418,-1.120578168,-0.493815326
320,1,0,-0.236235418,-1.120578168,-0.493815326
322.1,1,1,-0.003285776,-0.757796407,-0.493815326
322.2,1,1,4.755542625,-0.757796407,0.934376058
323,1,1,-0.103121336,0.693330638,0.934376058
324,1,0,-0.236235418,-1.120578168,-0.493815326
