a01,Amount of Land (during midline-2015),Current Land,Land Acquired, Current Value of Land
1.0,69.0,102.0,33.0,1800000
2.0,10.0,126.0,116.0,1444000
3.1,88.0,83.0,-5.0,525000
3.2,3.0,3.0,0.0,50000
4.0,62.0,140.0,78.0,1600000
5.0,717.0,717.0,0.0,5588000
6.0,86.0,86.0,0.0,830000
7.0,544.0,544.0,0.0,6750000
8.0,628.0,628.0,0.0,9726922
9.0,37.0,41.0,4.0,600000
10.1,193.0,161.0,-32.0,1980000
10.2,148.0,103.0,-45.0,1120000
11.1,33.0,25.0,-8.0,590000
11.2,33.0,4.0,-29.0,100000
11.3,33.0,2.0,-31.0,200000
12.0,27.5,32.0,4.5,485000
13.0,12.0,12.0,0.0,320000
14.0,597.0,363.0,-234.0,3990000
15.0,270.0,102.0,-168.0,1350000
16.1,281.5,269.5,-12.0,8590000
16.2,529.5,529.5,0.0,9870000
17.0,15.0,171.0,156.0,430000
18.1,339.0,213.0,-126.0,1800000
18.2,238.0,169.0,-69.0,2220000
19.0,5.0,5.0,0.0,100000
21.0,5.0,5.0,0.0,700000
22.0,10.0,10.0,0.0,200000
23.0,6.0,6.0,0.0,700000
24.0,6.0,6.0,0.0,100000
26.0,6.0,6.0,0.0,800000
27.0,296.0,150.0,-146.0,3170000
28.0,216.0,132.0,-84.0,7200000
29.0,16.0,10.0,-6.0,800000
30.1,6.0,6.0,0.0,400000
30.2,44.0,46.0,2.0,2400000
31.0,20.0,20.0,0.0,900000
32.0,10.0,10.0,0.0,800000
33.0,140.0,104.0,-36.0,8250000
34.0,25.0,25.0,0.0,900000
35.0,19.0,19.0,0.0,1000000
36.0,65.0,120.0,55.0,3930000
37.0,101.0,142.0,41.0,4250000
38.1,181.0,173.0,-8.0,5280000
38.2,176.0,15.0,-161.0,600000
39.0,229.0,216.0,-13.0,6650000
40.0,89.0,56.0,-33.0,2070000
41.0,88.0,36.0,-52.0,311000
42.0,225.0,107.0,-118.0,1460000
43.0,383.0,282.0,-101.0,2595000
44.0,421.0,421.0,0.0,3267600
45.0,191.0,100.0,-91.0,1800000
46.0,43.0,165.0,122.0,1300500
47.0,18.0,18.0,0.0,430000
48.0,308.0,308.0,0.0,2746000
49.0,644.0,644.0,0.0,4950000
50.0,6.0,6.0,0.0,50000
51.0,303.0,311.0,8.0,4600000
52.0,17.0,17.0,0.0,250000
53.0,456.0,139.0,-317.0,950000
54.0,483.0,516.0,33.0,4270000
56.0,180.0,126.0,-54.0,1035000
58.0,113.0,113.0,0.0,935000
60.0,41.0,41.0,0.0,415000
61.0,14.0,25.0,11.0,290000
63.0,8.0,4.0,-4.0,500000
66.0,66.0,58.0,-8.0,4700000
67.0,13.0,13.0,0.0,370000
68.0,7.0,7.0,0.0,400000
69.1,66.0,199.0,133.0,4390000
69.2,66.0,9.0,-57.0,300000
70.0,3.0,46.0,43.0,2800000
71.0,30.0,30.0,0.0,950000
72.0,90.0,160.5,70.5,2870000
73.0,8.0,9.0,1.0,500000
74.0,183.0,270.5,87.5,4100000
75.0,11.0,11.0,0.0,900000
76.0,4.0,7.5,3.5,800000
78.0,332.0,5.0,-327.0,150000
79.0,50.0,50.0,0.0,1200000
80.0,105.0,478.0,373.0,5380000
81.0,10.0,10.0,0.0,200000
82.0,8.0,8.0,0.0,70000
83.0,7.0,7.0,0.0,175000
84.0,0.0,20.0,20.0,400000
85.0,20.0,206.5,186.5,365000
86.0,30.0,30.0,0.0,300000
87.0,6.0,6.0,0.0,60000
90.0,130.0,130.0,0.0,1600000
91.0,5.0,5.0,0.0,200000
92.0,8.5,8.5,0.0,200000
93.1,10.0,10.0,0.0,100000
93.2,10.0,2.0,-8.0,20000
94.0,118.0,118.0,0.0,1400000
95.0,30.0,30.0,0.0,300000
96.0,5.0,2.0,-3.0,30000
97.0,15.0,19.0,4.0,340000
99.0,45.0,5.0,-40.0,225000
100.1,21.5,21.5,0.0,220000
101.0,6.0,6.0,0.0,300000
102.0,38.0,12.0,-26.0,200000
103.0,15.0,31.0,16.0,370000
104.0,3.0,3.0,0.0,50000
105.0,242.0,321.0,79.0,4855000
106.0,87.0,46.5,-40.5,425000
107.0,163.0,166.0,3.0,2640000
108.0,30.0,31.0,1.0,370000
109.0,3.0,9.0,6.0,105000
110.0,1.5,4.5,3.0,150000
111.0,163.0,107.0,-56.0,570000
112.0,9.0,13.0,4.0,220000
113.0,318.0,70.0,-248.0,1950000
114.0,54.0,58.5,4.5,625000
116.0,20.0,179.0,159.0,5210000
117.0,298.0,321.0,23.0,5528000
118.0,189.0,123.0,-66.0,5000000
120.0,18.0,18.0,0.0,500000
121.0,172.0,172.0,0.0,2170000
122.0,164.0,78.0,-86.0,1520000
123.0,102.0,122.0,20.0,1360000
124.0,67.0,89.0,22.0,970000
126.0,132.0,56.0,-76.0,1670000
127.0,66.0,66.0,0.0,1300000
128.0,122.0,30.0,-92.0,250000
129.0,269.0,121.0,-148.0,2920000
130.0,112.0,147.0,35.0,4560000
131.0,40.0,38.0,-2.0,680000
132.0,126.0,46.0,-80.0,600000
134.0,52.0,67.0,15.0,1440000
135.0,10.0,10.0,0.0,320000
136.0,14.0,14.0,0.0,180000
137.0,239.0,169.0,-70.0,5100000
140.0,64.0,24.0,-40.0,540000
141.0,5.0,5.0,0.0,80000
142.1,476.0,246.0,-230.0,3000000
142.2,476.0,146.0,-330.0,1900000
143.0,168.0,171.0,3.0,2625000
144.0,8.0,8.0,0.0,160000
145.0,16.0,16.0,0.0,225000
146.0,89.0,169.0,80.0,1960000
147.0,112.0,352.0,240.0,4160000
148.1,4.0,8.0,4.0,130000
148.2,16.0,28.0,12.0,500000
148.3,16.0,43.0,27.0,630000
149.0,20.0,135.0,115.0,3080000
150.0,6.0,6.0,0.0,80000
151.0,147.0,116.0,-31.0,2050000
152.0,488.0,486.0,-2.0,5269000
153.0,166.0,102.0,-64.0,1427500
154.0,157.0,205.0,48.0,2587000
155.0,68.0,98.0,30.0,1030000
157.0,96.0,18.0,-78.0,700000
160.0,34.0,34.0,0.0,750000
161.0,134.0,146.0,12.0,2190000
162.0,235.0,225.0,-10.0,3875000
163.0,122.0,162.0,40.0,4920000
164.0,26.0,66.0,40.0,1280000
165.0,70.0,65.0,-5.0,1600000
166.0,87.0,87.0,0.0,1740000
167.0,3.0,23.0,20.0,360000
168.0,98.0,48.0,-50.0,1568000
169.0,178.0,168.0,-10.0,2970000
170.0,216.0,96.0,-120.0,2880000
171.0,226.0,168.0,-58.0,3960000
172.0,104.0,24.0,-80.0,660000
173.0,57.0,17.0,-40.0,340000
174.0,32.0,32.0,0.0,540000
175.0,6.0,126.0,120.0,3840000
176.0,495.0,380.0,-115.0,3500000
177.0,152.0,45.0,-107.0,850000
178.0,77.0,64.0,-13.0,1355000
179.0,73.0,40.0,-33.0,1285000
180.0,256.0,196.0,-60.0,3958000
182.0,156.0,424.0,268.0,6663500
183.0,28.0,28.0,0.0,570000
184.0,2.0,2.0,0.0,70000
185.0,37.0,126.0,89.0,3200000
186.0,9.0,9.0,0.0,210000
187.0,126.0,166.0,40.0,2900000
188.0,7.0,7.0,0.0,160000
189.0,35.0,35.0,0.0,620000
190.0,49.0,49.0,0.0,1870000
191.1,1518.0,358.0,-1160.0,15760000
191.2,1518.0,2.0,-1516.0,100000
192.0,32.0,36.0,4.0,2200000
193.0,88.0,203.0,115.0,43200000
194.0,4.0,32.0,28.0,800000
195.1,6.0,2.0,-4.0,13000
195.2,6.0,2.0,-4.0,130000
196.0,80.0,80.0,0.0,1175000
197.0,685.0,685.0,0.0,18470000
198.0,7.0,7.0,0.0,200000
199.0,5.0,5.0,0.0,52000
201.0,3.0,3.0,0.0,60000
202.0,112.0,52.0,-60.0,1650000
203.0,4.0,4.0,0.0,200000
204.0,652.0,154.0,-498.0,3280000
205.0,97.0,147.0,50.0,4280000
206.0,18.0,18.0,0.0,360000
207.0,4.0,4.0,0.0,120000
208.0,12.0,12.0,0.0,360000
209.1,41.0,41.0,0.0,400000
209.2,41.0,77.0,36.0,820000
210.1,82.0,92.0,10.0,2040000
210.2,82.0,10.0,-72.0,30000
212.1,3.0,1.5,-1.5,60000
212.2,3.0,1.5,-1.5,45000
214.0,37.0,37.0,0.0,1245000
215.2,5.0,46.0,41.0,1420000
216.0,6.0,6.0,0.0,150000
218.0,82.0,170.0,88.0,3656000
219.0,190.0,267.0,77.0,24480000
220.0,2.0,42.0,40.0,240000
221.0,235.0,235.0,0.0,6250000
222.1,6.0,67.0,61.0,3680000
222.2,6.0,26.0,20.0,1060000
223.0,244.0,244.0,0.0,1880000
224.0,27.0,27.0,0.0,705000
225.0,118.0,160.0,42.0,6140000
226.0,55.0,68.0,13.0,1600000
227.0,97.0,97.0,0.0,2705000
228.0,131.0,123.5,-7.5,7654500
229.0,6.0,20.0,14.0,800000
230.0,27.0,57.0,30.0,700000
231.0,6.0,37.25,31.25,3330000
232.0,80.0,116.0,36.0,1990000
233.0,355.0,315.0,-40.0,7460000
234.0,3.0,3.0,0.0,240000
235.0,8.0,8.0,0.0,250000
238.0,24.0,24.0,0.0,750000
239.0,101.0,101.0,0.0,1533000
240.1,45.0,137.0,92.0,3170000
240.2,30.0,35.0,5.0,1330000
241.0,26.0,56.0,30.0,1440000
242.0,48.0,80.0,32.0,1410000
243.0,154.0,166.0,12.0,5240000
244.0,31.0,41.0,10.0,2940000
245.0,14.0,42.0,28.0,1300000
246.0,172.0,152.0,-20.0,4660000
247.0,70.0,134.0,64.0,2190000
248.0,140.0,246.0,106.0,4125000
249.0,140.0,140.0,0.0,2525000
250.0,4.0,38.0,34.0,420000
251.0,108.0,490.0,382.0,11685000
252.0,82.0,30.0,-52.0,385000
254.0,5.0,7.0,2.0,130000
255.0,4.0,32.0,28.0,1220000
256.0,117.0,163.0,46.0,3735000
257.0,10.0,40.0,30.0,800000
258.0,20.0,36.0,16.0,920000
259.0,125.0,5.0,-120.0,125000
260.0,36.0,37.0,1.0,780000
261.0,15.0,15.0,0.0,530000
262.0,52.0,40.0,-12.0,2145000
263.0,3.0,63.0,60.0,1470000
264.0,15.0,15.0,0.0,378000
265.0,5.0,65.0,60.0,1800000
267.0,32.0,32.0,0.0,810000
268.0,5.0,5.0,0.0,350000
269.0,25.0,25.0,0.0,950000
270.0,107.0,41.0,-66.0,1155000
271.0,3.0,3.0,0.0,180000
272.0,6.0,6.0,0.0,88000
273.0,5.5,5.5,0.0,250000
274.0,5.0,5.0,0.0,500000
275.0,2.0,2.0,0.0,100000
276.0,37.0,37.0,0.0,1340000
277.0,51.08,45.83,-5.25,1486550
278.0,2.0,2.0,0.0,200000
279.0,93.0,97.0,4.0,4000000
280.1,12.0,5.0,-7.0,100000
280.2,12.0,7.0,-5.0,140000
281.0,172.0,52.0,-120.0,205000
282.1,94.0,68.0,-26.0,1700000
282.2,94.0,4.0,-90.0,100000
284.0,1.0,1.0,0.0,30000
285.0,2.0,5.0,3.0,105000
286.1,424.0,384.0,-40.0,4372000
286.2,424.0,168.0,-256.0,2120000
287.0,452.0,212.0,-240.0,1040000
288.0,167.0,7.0,-160.0,30000
289.0,6.0,6.0,0.0,75000
290.0,2.0,2.5,0.5,70000
291.0,324.0,28.0,-296.0,160000
292.0,35.0,115.0,80.0,655000
293.0,4.0,92.0,88.0,700000
294.0,68.0,76.0,8.0,270000
295.0,6.0,6.0,0.0,625000
296.0,36.0,36.0,0.0,3950000
297.0,3.0,154.0,151.0,760000
298.0,13.0,50.0,37.0,220000
299.0,2.0,2.0,0.0,40000
300.0,3.0,90.5,87.5,800000
301.0,132.0,100.0,-32.0,770000
302.0,84.0,8.0,-76.0,120000
303.0,183.0,210.0,27.0,1070000
304.0,92.0,72.0,-20.0,510000
305.0,54.0,54.0,0.0,2280000
307.0,4.0,4.0,0.0,70000
308.0,32.0,260.0,228.0,3120000
309.0,116.0,139.0,23.0,1690000
310.0,190.0,158.0,-32.0,1720000
311.0,303.0,175.0,-128.0,1865000
312.0,6.0,50.0,44.0,580000
313.0,3.0,15.0,12.0,180000
314.0,3.0,3.0,0.0,70000
315.0,44.0,44.0,0.0,400000
316.1,439.0,227.0,-212.0,3150000
316.2,232.0,72.0,-160.0,820000
316.3,183.0,40.0,-143.0,350000
317.0,115.0,12.0,-103.0,240000
318.0,4.0,45.0,41.0,600000
319.0,56.0,2.0,-54.0,40000
320.0,148.0,100.0,-48.0,1400000
322.1,380.0,380.0,0.0,4480000
322.2,380.0,5.0,-375.0,100000
323.0,6.0,6.0,0.0,120000
324.0,448.0,536.0,88.0,2800000
325.0,18.0,6.0,-12.0,180000
326.0,84.0,202.0,118.0,1750000
327.0,8.0,8.0,0.0,400000
328.0,10.0,10.0,0.0,500000
329.1,89.0,89.0,0.0,1670000
329.2,8.0,16.0,8.0,750000
330.0,30.0,30.0,0.0,300000
331.0,8.0,8.0,0.0,300000
332.0,20.0,20.0,0.0,420000
333.0,54.0,72.0,18.0,2880000
334.0,744.0,734.0,-10.0,8358000
335.0,2.0,2.0,0.0,60000
336.1,24.0,53.0,29.0,347500
336.2,8.0,5.0,-3.0,200000
337.0,63.0,41.0,-22.0,300000
338.1,41.0,33.0,-8.0,500000
338.2,41.0,8.0,-33.0,200000
339.0,23.0,15.0,-8.0,260000
341.0,60.0,116.0,56.0,635000
342.0,2.0,2.0,0.0,40000
343.0,98.0,110.0,12.0,593750
345.0,186.0,40.0,-146.0,540000
346.0,200.0,202.0,2.0,508000
347.0,336.0,720.0,384.0,3690000
348.0,41.0,89.0,48.0,1360000
349.0,16.0,1.0,-15.0,10000
350.0,204.0,212.0,8.0,832000
351.0,178.0,190.0,12.0,530000
352.0,247.0,383.0,136.0,5532000
353.0,66.0,66.0,0.0,240000
354.0,142.0,214.0,72.0,510000
355.0,5.0,5.0,0.0,200000
356.0,2.0,2.0,0.0,30000
358.0,120.0,104.0,-16.0,640000
360.0,108.0,140.0,32.0,900000
361.0,65.5,3.5,-62.0,400000
362.0,27.5,27.5,0.0,1300000
363.0,28.0,28.0,0.0,1000000
364.0,66.5,6.5,-60.0,800000
365.0,170.0,116.5,-53.5,2730000
366.0,12.0,2.0,-10.0,250000
367.0,159.5,159.5,0.0,4390000
368.1,547.0,249.0,-298.0,5725000
368.2,547.0,274.0,-273.0,6280000
369.0,2.0,29.0,27.0,600000
370.0,6.0,6.0,0.0,400000
371.0,80.0,65.0,-15.0,1460000
372.0,3.0,8.0,5.0,350000
373.0,24.0,64.0,40.0,1700000
374.0,48.0,31.0,-17.0,1020000
376.0,46.5,46.5,0.0,875000
377.1,61.5,61.5,0.0,1340000
377.2,61.5,1.0,-60.5,80000
378.0,38.0,38.0,0.0,2200000
379.0,48.5,7.0,-41.5,700000
380.0,80.5,2.0,-78.5,300000
381.0,79.0,41.0,-38.0,2980000
382.0,105.0,105.0,0.0,4680000
383.0,130.5,106.5,-24.0,9035000
384.0,51.0,55.0,4.0,2650000
385.0,16.0,24.0,8.0,1040000
386.0,64.0,306.0,242.0,9020000
387.0,92.5,192.5,100.0,4380000
388.0,3.5,3.5,0.0,400000
389.0,110.0,101.5,-8.5,4890000
390.0,6.0,13.0,7.0,650000
391.0,39.0,42.0,3.0,1500000
392.0,9.0,9.0,0.0,900000
393.0,137.5,131.5,-6.0,6088000
394.0,57.5,47.5,-10.0,850000
395.0,7.0,5.5,-1.5,250000
396.0,18.5,14.0,-4.5,980000
397.0,36.0,15.0,-21.0,1950000
398.0,41.0,8.0,-33.0,160000
399.0,15.0,23.0,8.0,1950000
400.0,52.5,58.5,6.0,3220000
401.0,1.5,33.5,32.0,680000
402.0,71.5,62.5,-9.0,1150000
403.0,35.0,121.0,86.0,1616000
404.0,68.75,96.0,27.25,3617500
405.0,575.0,386.0,-189.0,4860000
407.0,93.0,68.0,-25.0,1395000
408.0,102.0,93.0,-9.0,1653000
409.0,262.1,83.1,-179.0,1252000
410.0,122.0,122.0,0.0,4230000
411.0,35.0,51.5,16.5,582500
412.0,51.0,17.0,-34.0,440000
413.0,101.0,101.0,0.0,2270000
414.0,423.5,352.0,-71.5,4290500
415.0,61.0,59.0,-2.0,1782000
416.0,4.0,4.0,0.0,150000
417.0,22.5,8.0,-14.5,200000
418.0,8.5,33.0,24.5,1100000
419.0,6.0,40.0,34.0,690000
420.0,30.0,40.0,10.0,1150000
421.0,4.0,83.0,79.0,3200000
422.0,1.5,3.5,2.0,175000
423.0,54.0,54.0,0.0,1358000
424.0,67.5,34.0,-33.5,1070000
425.0,131.0,131.5,0.5,4320000
426.0,44.0,12.0,-32.0,450000
427.0,1.0,1.0,0.0,150000
428.0,59.5,59.5,0.0,1250000
429.0,231.0,192.0,-39.0,7256000
430.0,5.0,5.0,0.0,250000
431.0,234.0,234.0,0.0,8132800
432.0,6.0,6.0,0.0,180000
433.0,3.0,7.0,4.0,330000
434.0,73.5,80.5,7.0,2170000
435.0,23.0,19.5,-3.5,605000
436.0,286.5,139.0,-147.5,55870000
437.1,27.0,27.0,0.0,850000
438.1,2.5,1.5,-1.0,90000
438.2,2.5,1.0,-1.5,60000
439.0,123.0,104.0,-19.0,3313000
440.1,130.0,32.0,-98.0,600000
440.2,130.0,37.5,-92.5,1165000
440.3,130.0,69.5,-60.5,4740000
441.0,2.0,2.0,0.0,60000
442.0,22.5,22.5,0.0,367500
443.0,33.0,35.0,2.0,460000
444.0,48.5,82.0,33.5,960000
445.0,357.2,357.2,0.0,7287500
446.0,90.0,60.0,-30.0,936000
447.0,394.5,415.0,20.5,11255000
448.0,43.0,54.0,11.0,1102000
449.0,94.0,114.0,20.0,1395000
450.0,243.0,243.0,0.0,3891000
451.0,165.0,148.0,-17.0,2470000
452.0,194.0,186.0,-8.0,2970000
453.0,64.0,97.0,33.0,1690000
454.0,46.5,23.0,-23.5,350000
455.0,308.0,262.0,-46.0,5580000
456.0,102.0,95.0,-7.0,1947000
457.0,29.0,23.0,-6.0,1650000
458.0,207.0,203.0,-4.0,1710000
459.0,148.0,166.0,18.0,1864000
460.0,132.0,119.0,-13.0,2625000
461.0,6.0,6.0,0.0,300000
462.0,10.0,10.0,0.0,500000
463.0,59.0,12.0,-47.0,400000
464.1,84.0,3.0,-81.0,150000
464.2,84.0,45.0,-39.0,990000
465.0,68.5,89.5,21.0,2050000
466.0,4.0,44.0,40.0,720000
467.1,448.0,406.0,-42.0,13519000
467.2,454.0,139.0,-315.0,2960000
468.0,6.0,6.0,0.0,300000
469.0,67.0,50.0,-17.0,1500000
471.0,41.0,37.0,-4.0,990000
472.0,54.0,54.0,0.0,1250000
473.0,140.0,108.0,-32.0,2440000
474.1,229.5,229.5,0.0,5800000
474.2,2.0,2.0,0.0,100000
475.0,399.0,369.0,-30.0,8140000
476.0,24.0,24.0,0.0,762000
477.0,85.5,85.5,0.0,1975000
478.0,165.0,259.0,94.0,6060000
479.0,72.25,54.25,-18.0,1254000
480.0,92.0,116.0,24.0,1664000
481.0,48.0,51.5,3.5,2880000
482.0,13.0,10.0,-3.0,1000000
483.1,51.0,30.0,-21.0,2350000
483.2,51.0,11.0,-40.0,900000
484.1,77.0,1.0,-76.0,120000
